recipe_name,prep_time,cook_time,total_time,servings,yield,rating,url,img_src,total_fat (g),sat_fat (g),cholesterol (mg),sodium (mg),total_carbohydrate (g),dietary_fiber (g),total_sugars (g),protein (g),vitamin_c (mg),calcium (mg),iron (mg),potassium (mg)
Fresh Orange Juice,5 mins,,5 mins,3,1 1/2 cups,4.4,https://www.allrecipes.com/recipe/89229/fresh-orange-juice/,https://www.allrecipes.com/thmb/qXBaEIkAqDpDWqAVJbPZs9TxcZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4513616-d1b91430eaab44e49230b21d22b88ba2.jpg,0.0,,,1.0,12,0.0,9.0,1.0,55.0,12.0,0.0,220
Lemon Chicken Orzo Soup,20 mins,1 hrs,1 hrs 20 mins,12,6 quarts,4.8,https://www.allrecipes.com/recipe/233968/lemon-chicken-orzo-soup/,https://www.allrecipes.com/thmb/LQJJnj7TgMX5mcQdmF5toBsZ98I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1052559-c23be50527614bd393dbdf176cd34d0b.jpg,4.0,2.0,20.0,187.0,22,3.0,4.0,12.0,20.0,69.0,2.0,321
Simple Lemon Cake,10 mins,35 mins,45 mins,10,1 9-inch square cake,4.4,https://www.allrecipes.com/recipe/273698/simple-lemon-cake/,https://www.allrecipes.com/thmb/owzuihRwSrY--pFnKC42ipZ8ws0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6671817-simple-lemon-cake-My-Hot-Southern-Mess-4x3-1-beeb5578d3a24f54b26c01951b1a5bf6.jpg,11.0,6.0,63.0,173.0,36,1.0,21.0,4.0,2.0,81.0,1.0,68
Greek Lemon Chicken Soup,25 mins,40 mins,1 hrs 5 mins,16,,4.5,https://www.allrecipes.com/recipe/12963/greek-lemon-chicken-soup/,https://www.allrecipes.com/thmb/0YaIza9FtHUXDocyKM1wm90ekMY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5795826-50a4cf24ce38481f9190daa45a1e8ec3.jpg,7.0,2.0,110.0,1237.0,9,1.0,2.0,8.0,15.0,34.0,1.0,197
Lemon Cookies from Scratch,15 mins,15 mins,1 hrs,20,20 cookies,4.3,https://www.allrecipes.com/recipe/276680/lemon-cookies-from-scratch/,https://www.allrecipes.com/thmb/j0IXrbkmbYtPaIAGlALJ7eRF1WE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7856457-1ea8139f81184501a6f9c76787acd2a4.jpg,5.0,3.0,31.0,106.0,20,0.0,12.0,2.0,1.0,27.0,1.0,21
Orange Gelatin Salad,10 mins,,40 mins,7,,4.7,https://www.allrecipes.com/recipe/14465/orange-gelatin-salad/,https://www.allrecipes.com/thmb/2Gmz1W8C0GXH706H3j20XdRs420=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2314465-orange-gelatin-salad-ddmfs-4x3-0105-6231ce49ff50454c96c495aaeedcae24.jpg,8.0,7.0,10.0,350.0,41,1.0,35.0,10.0,7.0,43.0,0.0,93
Quick and Easy Chicken,15 mins,30 mins,45 mins,4,,4.4,https://www.allrecipes.com/recipe/8545/quick-and-easy-chicken/,https://www.allrecipes.com/thmb/ehRkDFkoec52LcfC5efk3U9dh2g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/578526-5dfa4c3657014d87ba1b91beddfdd392.jpg,8.0,1.0,68.0,655.0,16,1.0,13.0,28.0,9.0,26.0,1.0,418
Parchment Baked Salmon,15 mins,25 mins,40 mins,2,,4.5,https://www.allrecipes.com/recipe/229032/parchment-baked-salmon/,https://www.allrecipes.com/thmb/JZsLVAsVN15S3PKP5mHcpOgNwqU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/963911-parchment-baked-salmon-Bibi-4x3-1-361a040fc5a04575af66405ddb7a7ffd.jpg,7.0,1.0,50.0,48.0,6,3.0,,25.0,45.0,84.0,1.0,495
Pan-Fried Shrimp,5 mins,5 mins,10 mins,4,1 pound shrimp,4.5,https://www.allrecipes.com/recipe/258426/pan-fried-shrimp/,https://www.allrecipes.com/thmb/-B_6W9N3G5M3A0RlkzJlDF23ckw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4600372-d5c775915fe34f12a76d6dede8b6a4af.jpg,24.0,15.0,234.0,483.0,0,,0.0,19.0,4.0,42.0,3.0,173
Chicken with Lemon-Caper Sauce,10 mins,20 mins,30 mins,2,,4.6,https://www.allrecipes.com/recipe/132703/chicken-with-lemon-caper-sauce/,https://www.allrecipes.com/thmb/IG9bFTwGMxdkfhnXh8555R-Crio=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/132703-chicken-with-lemon-caper-sauce-mfs-4x3-162--68f7d16c33894f53a491c1876f1d5f97.jpg,39.0,17.0,160.0,372.0,29,2.0,1.0,43.0,27.0,47.0,3.0,558
Butterflied Roast Chicken with Lemon and Rosemary,10 mins,50 mins,1 hrs,6,,4.4,https://www.allrecipes.com/recipe/242362/butterflied-roast-chicken-with-lemon-and-rosemary/,https://www.allrecipes.com/thmb/LgRxtlMGcpEw12kpCbz7Dg-HhjM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2251789-butterflied-roast-chicken-with-lemon-and-rosemary-foodelicious-4x3-1-595a25f3e5834febaa5e1e392d45e548.jpg,12.0,3.0,114.0,178.0,3,1.0,0.0,37.0,14.0,34.0,2.0,354
Honey Lemon Tea,5 mins,5 mins,10 mins,1,,4.7,https://www.allrecipes.com/recipe/56445/honey-lemon-tea/,https://www.allrecipes.com/thmb/J__XB6dwBXLhM1XJDG0rY7N-VaA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8180572-91d9924fe6fc42c7aef5fe5fa203401e.jpg,,,,1.0,17,0.0,17.0,0.0,3.0,1.0,0.0,15
Lemon Cream Cheese Frosting,15 mins,,15 mins,15,3 2/3 cups,4.6,https://www.allrecipes.com/recipe/7556/lemon-cream-cheese-frosting/,https://www.allrecipes.com/thmb/2bI6q35h3UN-wU-mphHbPOwnEdI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7569212-72c90c55c2794c8f8438b4122828988f.jpg,8.0,5.0,25.0,67.0,41,,39.0,1.0,1.0,14.0,0.0,23
Lemon Cream Cheese Bars,15 mins,30 mins,2 hrs 5 mins,24,1 9x13-inch baking dish,4.2,https://www.allrecipes.com/recipe/237181/lemon-cream-cheese-bars/,https://www.allrecipes.com/thmb/FXtjg0C0KNP8Xk9SFMCEzf8aRpw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/237181-lemon-cream-cheese-bars-lutzflcatjpg-c6a19781927840eb9654b834189676c9.jpg,12.0,6.0,23.0,209.0,15,0.0,7.0,3.0,7.0,21.0,1.0,36
Lemon-Orange Orange Roughy,10 mins,5 mins,15 mins,4,,4.4,https://www.allrecipes.com/recipe/40061/lemon-orange-orange-roughy/,https://www.allrecipes.com/thmb/LFMuPa37s5Z_Z7Hamah4bqN004w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/153437-e01b2ffd5b7647a6abbc6bc6812631cb.jpg,4.0,1.0,67.0,139.0,8,2.0,4.0,19.0,43.0,44.0,1.0,303
Olive Oil Roasted Eggplant with Lemon,15 mins,25 mins,40 mins,4,,4.2,https://www.allrecipes.com/recipe/156162/olive-oil-roasted-eggplant-with-lemon/,https://www.allrecipes.com/thmb/6FA9y07HvLjwrGoBzb2Jm9Q_ANc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/729359-dfa51b63274f4be1b69ce8cb9e590929.jpg,10.0,2.0,,2.0,7,4.0,3.0,1.0,6.0,11.0,0.0,273
Wine Sauce for Seafood,10 mins,5 mins,15 mins,4,,4.4,https://www.allrecipes.com/recipe/92911/wine-sauce-for-seafood/,https://www.allrecipes.com/thmb/wgQYjQg6QyfU34sBpQ9q7s7E4mM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2550588-bcb9d80b034d442681b84fdd12153f6f.jpg,9.0,6.0,23.0,210.0,5,1.0,0.0,1.0,23.0,32.0,1.0,94
Easy Lemon Cookies,10 mins,10 mins,20 mins,36,36 cookies,4.6,https://www.allrecipes.com/recipe/10776/easy-lemon-cookies/,https://www.allrecipes.com/thmb/rz35RuUMqgWX2xGgx3YwlKJxxks=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/887122-c998e7732f4044e599562502a5961ce5.jpg,4.0,1.0,14.0,107.0,12,0.0,7.0,1.0,,8.0,0.0,16
Lemon Rosemary Salmon,10 mins,20 mins,30 mins,2,,4.5,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,https://www.allrecipes.com/thmb/jtP8DYeAjk6JDOwoqTfgKI9N2eE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/693200-lemon-rosemary-salmon-Allison-TX-4x3-1-f4f326f735cf4ba19660b6bafe259c57.jpg,18.0,3.0,56.0,1017.0,6,3.0,,21.0,45.0,51.0,1.0,431
Sautéed Swiss Chard with Parmesan Cheese,15 mins,10 mins,25 mins,4,,4.6,https://www.allrecipes.com/recipe/148889/sauteed-swiss-chard-with-parmesan-cheese/,https://www.allrecipes.com/thmb/AWGexy078Bh67EQjUPAw5egEAVg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/148889-sauteed-swiss-chard-with-parmesan-cheese-ddmfs-1x1-0819-70e3652e0035408e93f7261cbb8c0fc7.jpg,13.0,5.0,18.0,202.0,5,1.0,1.0,2.0,20.0,67.0,1.0,268
Old Fashioned Cocktail,5 mins,,5 mins,1,,4.7,https://www.allrecipes.com/recipe/221320/old-fashioned-cocktail/,https://www.allrecipes.com/thmb/5aNNk0uzLsz1PmkScs397gd67JY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8226721-7a2d83baddc84cc6837c28164c116fc8.jpg,,,,7.0,7,0.0,4.0,,,8.0,,12
Lemon Meringue Cheesecake,20 mins,1 hrs 10 mins,5 hrs 30 mins,16,1 9-inch cake,4.8,https://www.allrecipes.com/recipe/244929/lemon-meringue-cheesecake/,https://www.allrecipes.com/thmb/jtSLGK59oJ0LJ-andS3ykjD303I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5157071-lemon-meringue-cheesecake-Kim-1x1-1-12e8121d5edc4471a2177eb6c026de76.jpg,29.0,15.0,130.0,305.0,52,0.0,33.0,8.0,2.0,67.0,1.0,138
Real Aioli,15 mins,,15 mins,6,2/3 cup,4.6,https://www.allrecipes.com/recipe/255815/real-aioli/,https://www.allrecipes.com/thmb/cgtaP6_1eFtnap4qtjaoZ8SQTdU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4064619-real-aioli-Chef-John-1x1-1-6ea6209c16c347d3b6f23090d7059a50.jpg,19.0,3.0,,161.0,1,0.0,0.0,0.0,2.0,6.0,0.0,15
Amazing Lemon Scones,25 mins,15 mins,55 mins,10,10 scones,4.7,https://www.allrecipes.com/recipe/229571/amazing-lemon-scones/,https://www.allrecipes.com/thmb/fCQmZrtUArCmm2cUHmnhQT-h9sU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1445936-cade8c7f68e94ac1adcab3e0f639b4f4.jpg,21.0,13.0,54.0,488.0,62,1.0,32.0,5.0,5.0,70.0,2.0,79
Baked Banana Chips,10 mins,2 hrs,2 hrs 15 mins,2,,2.3,https://www.allrecipes.com/recipe/261342/baked-banana-chips/,https://www.allrecipes.com/thmb/oku5II_Qq44jrHy3xNvd4hmTvk8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4577553-a46106cf85c44818872e34ccf241fbda.jpg,0.0,0.0,,1.0,27,3.0,15.0,1.0,12.0,6.0,0.0,426
Lemon Garlic Chicken,10 mins,15 mins,25 mins,3,,4.4,https://www.allrecipes.com/recipe/240993/lemon-garlic-chicken/,https://www.allrecipes.com/thmb/by9W5gFmmFWSX6AMAs-9lcr0tDI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2023030-7ca808c6f09749b09179162e3f320278.jpg,11.0,6.0,85.0,1275.0,5,1.0,1.0,25.0,1.0,23.0,1.0,271
Slow Cooker Lemon Garlic Chicken,15 mins,3 hrs 15 mins,3 hrs 30 mins,6,,4.2,https://www.allrecipes.com/recipe/18032/slow-cooker-lemon-garlic-chicken-ii/,https://www.allrecipes.com/thmb/-_vIsGnLOE90WYzyNozHjYJKfvQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7879503-slow-cooker-lemon-garlic-chicken-ii-Rebekah-Pope-1x1-1-05e95975aab04751b8bd0575df725e42.jpg,7.0,3.0,88.0,348.0,1,0.0,0.0,30.0,4.0,22.0,1.0,212
Pear Jam,20 mins,20 mins,40 mins,64,8 half-pint jars,4.4,https://www.allrecipes.com/recipe/228625/pear-jam/,https://www.allrecipes.com/thmb/YS1Dg6RJq4f2398UDZWkz65qUqM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4554157-1d1a6c2cba9945f38442a7cc0312904b.jpg,0.0,,0.0,1.0,25,0.0,25.0,0.0,1.0,2.0,,16
Refreshing Cucumber Lemonade,15 mins,5 mins,50 mins,4,,4.3,https://www.allrecipes.com/recipe/197751/refreshing-cucumber-lemonade/,https://www.allrecipes.com/thmb/COq6hxBBRDwE-wU7w2evXLy5ncA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/240115-30763c1e632b47939490f03e1e541d5a.jpg,1.0,0.0,,8.0,46,8.0,26.0,3.0,131.0,116.0,1.0,348
Air-Fried Crumbed Fish,10 mins,15 mins,25 mins,4,4 fillets,4.7,https://www.allrecipes.com/recipe/260624/air-fried-crumbed-fish/,https://www.allrecipes.com/thmb/2QkT5AHnlF49ZjTWSRez2w0Dud4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/260624-air-fried-crumbled-crumbed-fish-Beauty-3x4-2689-5bf1f4c630fe46139878891b101aa89c.jpg,18.0,3.0,107.0,309.0,23,3.0,2.0,27.0,22.0,89.0,2.0,415
Mom's Peach Crisp,15 mins,30 mins,45 mins,8,8 servings,4.7,https://www.allrecipes.com/recipe/231532/moms-peach-crisp/,https://www.allrecipes.com/thmb/TgffdoX8XKS7-fUd979DGWF3sNs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/231532-Moms-Peach-Crisp-MFS_015_1-X-1-e88a744b8add48d99a270734fb53c3f9.jpg,12.0,7.0,31.0,162.0,31,1.0,17.0,2.0,27.0,32.0,1.0,89
Peach Pie the Old Fashioned Two Crust Way,30 mins,40 mins,1 hrs 25 mins,8,1 9-inch pie,4.6,https://www.allrecipes.com/recipe/87979/peach-pie-the-old-fashioned-two-crust-way/,https://www.allrecipes.com/thmb/FHauT6gG7q0hlc5jkrNrw2O5Slw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/264202-c7e7973902ab4ded9000aef18f945c4c.jpg,20.0,6.0,31.0,358.0,59,2.0,30.0,5.0,36.0,22.0,2.0,81
Peach Dump Cake,10 mins,45 mins,55 mins,24,1 9x13-inch cake,4.5,https://www.allrecipes.com/recipe/7987/peach-cobbler-dump-cake-i/,https://www.allrecipes.com/thmb/VT3v9l-vpGPrtLVPoMjhngmi-Oo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7987-peach-cobbler-dump-cake-i-munni-alexander-2000-86be0070ae8648f0be949e4857f54bc0.jpg,6.0,3.0,11.0,171.0,24,1.0,16.0,1.0,1.0,32.0,0.0,53
Quick and Easy Peach Cobbler,10 mins,30 mins,50 mins,12,1 cobbler,4.3,https://www.allrecipes.com/recipe/12386/quick-and-easy-peach-cobbler/,https://www.allrecipes.com/thmb/lsAeV7KlvTKavmTKQhNHbcjVKqU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12386-QuickandEasyPeachCobbler-mfs-1x1-0184-6c6f462ae521444eb3bfe15abd5c339e.jpg,8.0,5.0,22.0,201.0,39,1.0,31.0,2.0,1.0,61.0,1.0,110
Basic Fruit Smoothie,10 mins,,10 mins,4,,4.4,https://www.allrecipes.com/recipe/23553/basic-fruit-smoothie/,https://www.allrecipes.com/thmb/UkeuVPlM5KjA520YuyD87dSDG2E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/23553-basic-fruit-smoothie-ddmfs-1x1-0709-0a157232688a4468be54e8278d9b633f.jpg,1.0,0.0,,16.0,29,4.0,20.0,2.0,129.0,36.0,1.0,443
Old Fashioned Peach Cobbler,30 mins,1 hrs 10 mins,2 hrs 10 mins,18,1 9x13-inch dish,4.6,https://www.allrecipes.com/recipe/19897/old-fashioned-peach-cobbler/,https://www.allrecipes.com/thmb/knbUsqBissOVtHHXMICc6uLPd1s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9227157-old-fashioned-peach-cobbler-photo-danielle-k-sq-crop-2000-0e515e15d2a3413eb38c035a92a17c20.jpg,18.0,7.0,26.0,177.0,44,1.0,30.0,2.0,31.0,16.0,1.0,69
Classic Bisquick Peach Cobbler,10 mins,50 mins,1 hrs,6,1 8x8-inch dish,4.5,https://www.allrecipes.com/recipe/234261/classic-bisquick-peach-cobbler/,https://www.allrecipes.com/thmb/J-uyHIdzAceXAduTfjp6ki_bWIg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1285677-5b06bb34585541b297853ea03299861d.jpg,19.0,11.0,44.0,383.0,63,2.0,50.0,4.0,5.0,91.0,1.0,266
3-Ingredient Cake Mix Cobbler,5 mins,50 mins,55 mins,8,,4.3,https://www.allrecipes.com/recipe/264042/3-ingredient-cake-mix-cobbler/,https://www.allrecipes.com/thmb/bVJs9cWsJTkCpVbzKQj2nkQpam8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6950272-5973116c31644cdcb22d7326aab6c457.jpg,19.0,8.0,32.0,512.0,66,2.0,42.0,4.0,3.0,94.0,1.0,161
Easy Batter Fruit Cobbler,15 mins,55 mins,1 hrs 10 mins,4,,4.6,https://www.allrecipes.com/recipe/88354/easy-batter-fruit-cobbler/,https://www.allrecipes.com/thmb/w_OFfYbOAOlcwBRsexg5ys5-Hoc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4487754-755902636481476eb96d960c670a63c7.jpg,13.0,8.0,34.0,371.0,65,1.0,47.0,4.0,28.0,136.0,1.0,119
Peach Preserves,15 mins,35 mins,50 mins,64,8 cups,4.4,https://www.allrecipes.com/recipe/21351/peach-preserves/,https://www.allrecipes.com/thmb/MblHT1w0ov0yKEBcy8XYg2XNIEM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/459650-0dd7658d20924ddd89d2e11e5d6f7172.jpg,,,,1.0,15,,15.0,,8.0,2.0,,6
Georgia Peach Homemade Ice Cream,15 mins,,4 hrs 35 mins,32,1 gallon,4.4,https://www.allrecipes.com/recipe/38236/georgia-peach-homemade-ice-cream/,https://www.allrecipes.com/thmb/KcW-jr7BDVsseeHPWpeDCJhvj_o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3769558-d14c03f8ee75456c9160df73ce5e4755.jpg,5.0,3.0,16.0,42.0,14,,13.0,3.0,12.0,104.0,0.0,135
Easy Peach Cobbler,10 mins,30 mins,40 mins,6,6 servings,4.2,https://www.allrecipes.com/recipe/19044/easy-peach-cobbler/,https://www.allrecipes.com/thmb/0HjbMxmBzlAQLojFQWy0DGAXu_8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/438953-fd91fe795986496ea8581de57d136ef6.jpg,16.0,10.0,44.0,393.0,59,2.0,43.0,4.0,3.0,127.0,1.0,182
Peach Muffins,25 mins,25 mins,50 mins,16,16 muffins,4.4,https://www.allrecipes.com/recipe/74658/peach-muffins/,https://www.allrecipes.com/thmb/FEi1YqU8acyDofWOEva4YDFICbM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/264988-8d35d359fddc4e739405074be8da96fb.jpg,18.0,3.0,35.0,238.0,44,1.0,26.0,4.0,7.0,15.0,1.0,45
Peach Pie with Frozen Peaches,25 mins,1 hrs,2 hrs 10 mins,8,1 peach pie,4.6,https://www.allrecipes.com/recipe/284448/peach-pie-with-frozen-peaches/,https://www.allrecipes.com/thmb/ppRU3OoP3WKfdGoIIe7lJqyfLyA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9209094-8f829f8d91584111a069e6f1e4d9fce3.jpg,17.0,4.0,23.0,304.0,47,2.0,19.0,4.0,37.0,20.0,2.0,71
Award Winning Peaches and Cream Pie,30 mins,40 mins,3 hrs 30 mins,8,1 to 10 - inch pie,4.5,https://www.allrecipes.com/recipe/15142/award-winning-peaches-and-cream-pie/,https://www.allrecipes.com/thmb/WENukrI_dVPBvq-ub0NaJa3MaFc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4120799-b6fd33463e1a49d4954e30bcf674f4d1.jpg,15.0,9.0,67.0,422.0,54,1.0,42.0,6.0,1.0,84.0,1.0,169
"Peaches and Cream, Literally",10 mins,10 mins,3 hrs 20 mins,4,4 servings,4.6,https://www.allrecipes.com/recipe/274821/peaches-and-cream-literally/,https://www.allrecipes.com/thmb/_qv4Cr4VDpmYdEzh8uEF4wBUIrU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6864209-peaches-and-cream-literally-Chef-John-1x1-1-885400a0b094497a8fe7a7ed139f21c6.jpg,33.0,21.0,122.0,38.0,25,,23.0,2.0,42.0,70.0,0.0,100
Nana's Southern Pickled Peaches,30 mins,40 mins,13 hrs 10 mins,40,5 quarts,4.9,https://www.allrecipes.com/recipe/72126/nanas-southern-pickled-peaches/,https://www.allrecipes.com/thmb/Q7lR_HiK9TUrsxzSEvyQ5nfz1yE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046199-nanas-southern-pickled-peaches-Ambria_red-4x3-1-a7f74fa3aca042538fbd90c578929113.jpg,,,,2.0,23,0.0,,0.0,15.0,11.0,0.0,14
Blueberry and Peach Crisp,15 mins,30 mins,45 mins,9,1 8-inch square dish,4.5,https://www.allrecipes.com/recipe/239090/blueberry-and-peach-crisp/,https://www.allrecipes.com/thmb/EXRlLBYCcVojmG1vSSpVkBXvSgw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3947440-8b1b534b385f4543bf5bb6d4aa76cab8.jpg,8.0,4.0,14.0,43.0,38,3.0,28.0,3.0,61.0,27.0,1.0,164
Easy Peach Cobbler with Canned Peaches,10 mins,45 mins,55 mins,16,1 9x13-inch cobbler,3.3,https://www.allrecipes.com/recipe/285159/easy-peach-cobbler-with-canned-peaches/,https://www.allrecipes.com/thmb/ibyxl-7R6sacSkRj4mgzQz2vC80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/285159_Easy-Peach-Cobbler-with-Canned-Peaches_lutzflcat_1645467750-2000-fe955227c4a3455cb78db008d2a4fa8c.jpeg,14.0,6.0,23.0,6.0,37,2.0,23.0,3.0,4.0,16.0,1.0,177
Easy Fruit Cobbler,15 mins,1 hrs,1 hrs 15 mins,8,1 to 9 - inch cobbler,4.3,https://www.allrecipes.com/recipe/12148/easy-fruit-cobbler/,https://www.allrecipes.com/thmb/louGkIn2Dm5y7XkU38GJulA23fE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/683912-0eeba4f1164b4c67bb844f6427872822.jpg,6.0,4.0,17.0,174.0,34,0.0,22.0,2.0,14.0,102.0,1.0,64
Butter Biscuit Peach Cobbler,15 mins,1 hrs,1 hrs 35 mins,10,10 servings,4.6,https://www.allrecipes.com/recipe/234306/butter-biscuit-peach-cobbler/,https://www.allrecipes.com/thmb/-vsGcpSFYl0IRhPyp8acS_HQcWE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8568912-butter-biscuit-peach-cobbler-Deanna-Quade-4x3-1-cf2a1d37051a4a52a402b3d9e9eab41d.jpg,21.0,9.0,25.0,552.0,73,3.0,46.0,5.0,6.0,50.0,2.0,313
Easy Peach Cobbler with Cake Mix,,,,12,12 servings,4.3,https://www.allrecipes.com/recipe/15046/easy-peach-cobbler-with-cake-mix/,https://www.allrecipes.com/thmb/ph3qBtnpkP7Bj5p4IjKPMdbIssM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/777288-7c3469bd5dd94edfb8d2c36298a113f1.jpg,19.0,10.0,41.0,397.0,56,0.0,46.0,3.0,42.0,112.0,1.0,108
GA Peach Pound Cake,20 mins,1 hrs 10 mins,1 hrs 30 mins,16,1 to 10 - inch tube pan,4.6,https://www.allrecipes.com/recipe/17635/ga-peach-pound-cake/,https://www.allrecipes.com/thmb/iITX-hpIDBkNwFZYkK4K6jm8ZCY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1334531-9d1505481d774071b9d42d02c49388fb.jpg,13.0,8.0,77.0,196.0,44,1.0,26.0,4.0,7.0,37.0,1.0,52
White Peachy Sangria,30 mins,,8 hrs 30 mins,20,20 servings,4.9,https://www.allrecipes.com/recipe/223329/white-peachy-sangria/,https://www.allrecipes.com/thmb/uz0pOWl7xju8N7kpWz_2HCIbhZE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/223329-White-Peachy-Sangria-Caelynne_5455009_original-4x3-1-8a93bc5db2404e3b84c49b8d671d9cbf.jpg,0.0,,,24.0,41,2.0,22.0,1.0,30.0,23.0,1.0,228
Southern Peach Cobbler,10 mins,45 mins,1 hrs,8,8 servings,4.4,https://www.allrecipes.com/recipe/22778/southern-peach-cobbler/,https://www.allrecipes.com/thmb/EKHEazOTzCRl0lXI4N8J71M0BGM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4014817-f0b224c442ca4843bbaec4634f309717.jpg,12.0,8.0,32.0,245.0,50,2.0,40.0,3.0,3.0,73.0,1.0,151
Peach Ice Cream,20 mins,,4 hrs 40 mins,32,4 quarts,4.7,https://www.allrecipes.com/recipe/20120/peach-ice-cream/,https://www.allrecipes.com/thmb/N_wogMh_N-cQmuOkhgdBsAwUEBA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/262462-3496d0744f074ef0b9350c77145b5911.jpg,14.0,8.0,81.0,86.0,25,,24.0,2.0,13.0,44.0,0.0,66
Crisp Peach Cobbler,20 mins,45 mins,1 hrs 35 mins,8,8 servings,4.6,https://www.allrecipes.com/recipe/259043/crisp-peach-cobbler/,https://www.allrecipes.com/thmb/3BrRGjqpAFBDuJS69aX7k-DWvZI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4535574-crisp-peach-cobbler-Chef-John-1x1-1-3e918b8ce2424731a93eb9c4fc08c144.jpg,13.0,8.0,33.0,279.0,62,1.0,45.0,3.0,43.0,111.0,1.0,105
Baked Peaches 'n Cream,10 mins,15 mins,25 mins,4,4 servings,4.7,https://www.allrecipes.com/recipe/241994/baked-peaches-n-cream/,https://www.allrecipes.com/thmb/ECkmEPXmhg28rM7mtiD5WxPy8PE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2241796-baked-peaches-n-cream-Jenny-Aleman-de-Bolanos-4x3-1-13345a4beedf4638a83c5f2a57ad70c3.jpg,8.0,5.0,25.0,63.0,17,0.0,16.0,1.0,42.0,48.0,0.0,85
Peach and Blackberry Cobbler,30 mins,45 mins,1 hrs 15 mins,12,1 9x13-inch dish,4.6,https://www.allrecipes.com/recipe/223305/peach-and-blackberry-cobbler/,https://www.allrecipes.com/thmb/bFUHMxxNBfBHavxAu1VpX05haV8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/22305-peach-and-blackberry-cobbler-DDMFS-4x3-1-90fd880ff1e9439e88b009abcaa51dd8.jpg,8.0,5.0,22.0,243.0,36,1.0,25.0,2.0,21.0,84.0,1.0,83
